id    ,title                                                                                                                 ,title_en                                                                                 ,title_jp                                                                       ,source       ,members ,score  ,format ,episodes ,starting_at               ,airing_day ,studio                               ,official_site                                             ,twitter_username
54839 ,Yoru no Kurage wa Oyogenai                                                                                            ,Jellyfish Can't Swim in the Night                                                        ,夜のクラゲは泳げない                                                           ,Original     ,  11437 , 11437 ,TV     ,         ,2024-04-07T00:00:00+00:00 ,Sundays    ,Doga Kobo                            ,https://yorukura-anime.com/                               ,yorukura_anime
55911 ,The Fable                                                                                                             ,The Fable                                                                                ,ザ・ファブル                                                                   ,Manga        ,  10884 , 10884 ,TV     ,         ,2024-04-07T00:00:00+00:00 ,Sundays    ,Tezuka Productions                   ,https://www.vap.co.jp/the-fable-anime/                    ,the_fable_anime
54199 ,Kaii to Otome to Kamikakushi                                                                                          ,Mysterious Disappearances                                                                ,怪異と乙女と神隠し                                                             ,Web manga    ,  10693 , 10693 ,TV     ,         ,2024-04-10T00:00:00+00:00 ,Wednesdays ,Zero-G                               ,https://totokami.com/                                     ,totokamiPR
56838 ,"One Room, Hiatari Futsuu, Tenshi-tsuki."                                                                             ,"Studio Apartment, Good Lighting, Angel Included"                                        ,ワンルーム、日当たり普通、天使つき。                                           ,Manga        ,  10662 , 10662 ,TV     ,         ,2024-04-01T00:00:00+00:00 ,           ,Okuruto Noboru                       ,https://tenshitsuki.com/                                  ,tenshitsuki_off
53912 ,Seiyuu Radio no Uraomote                                                                                              ,                                                                                         ,声優ラジオのウラオモテ                                                         ,Light novel  ,  10390 , 10390 ,TV     ,         ,2024-04-01T00:00:00+00:00 ,           ,Connect                              ,https://seiyuradio-anime.com/                             ,sayyouradio_prj
57031 ,Vampire Dormitory                                                                                                     ,                                                                                         ,ヴァンパイア男子寮                                                             ,Manga        ,  10326 , 10326 ,TV     ,         ,2024-04-01T00:00:00+00:00 ,           ,Studio Blanc.                        ,https://www.vampire-dormitory.com/                        ,vampiredorm_PR
56690 ,Re:Monster                                                                                                            ,                                                                                         ,Re:Monster                                                                     ,Light novel  ,   8697 ,  8697 ,TV     ,         ,2024-04-02T00:00:00+00:00 ,           ,Studio Deen                          ,https://re-monster.com/                                   ,ReMonster_anime
55717 ,Dekisokonai to Yobareta Motoeiyuu wa Jikka kara Tsuihou sareta node Sukikatte ni Ikiru Koto ni Shita                  ,The Banished Former Hero Lives as He Pleases                                             ,出来損ないと呼ばれた元英雄は、実家から追放されたので好き勝手に生きることにした ,Light novel  ,   8109 ,  8109 ,TV     ,         ,2024-04-02T00:00:00+00:00 ,Tuesdays   ,Studio Deen/ Marvy Jack              ,https://dekisoko-anime.com/                               ,dekisoko_pr
57508 ,Trapezium                                                                                                             ,                                                                                         ,トラペジウム                                                                   ,Novel        ,   7451 ,  7451 ,Movie  ,     1.0 ,2024-05-10T00:00:00+00:00 ,           ,CloverWorks                          ,https://trapezium-movie.com/                              ,trapezium_movie
57508 ,Trapezium                                                                                                             ,                                                                                         ,トラペジウム                                                                   ,Novel        ,   7451 ,  7451 ,Movie  ,     1.0 ,2024-05-10T00:00:00+00:00 ,           ,CloverWorks                          ,https://trapezium-movie.com/                              ,trapezium_movie
58125 ,Look Back                                                                                                             ,                                                                                         ,ルックバック                                                                   ,Manga        ,   7131 ,  7131 ,Movie  ,     1.0 ,2024-06-28T00:00:00+00:00 ,           ,Studio DURIAN                        ,https://lookback-anime.com/                               ,lookback_anime
52405 ,Highspeed Etoile                                                                                                      ,Highspeed Etoile                                                                         ,HIGHSPEED Etoile（ハイスピード エトワール）                                    ,Original     ,   7098 ,  7098 ,TV     ,         ,2024-04-01T00:00:00+00:00 ,           ,                                     ,https://highspeed-etoile.com/                             ,HSE_Project_PR
55102 ,Girls Band Cry                                                                                                        ,                                                                                         ,ガールズバンドクライ                                                           ,Original     ,   6987 ,  6987 ,TV     ,         ,2024-04-06T00:00:00+00:00 ,Saturdays  ,Toei Animation                       ,https://girls-band-cry.com/                               ,girlsbandcry
56768 ,"Tadaima, Okaeri"                                                                                                     ,                                                                                         ,ただいま、おかえり                                                             ,Manga        ,   6574 ,  6574 ,TV     ,         ,2024-04-09T00:00:00+00:00 ,Tuesdays   ,Studio Deen                          ,https://tadaoka-anime.com/                                ,TadaOka_anime
