id,title,title_en,title_jp,source,members,score,format,episodes,season,year,starting_at,airing_day,studio,official_site,twitter_username
57391,Astro Note,,アストロノオト,Original,16461,6.6,TV,12.0,spring,2024.0,2024-04-05T00:00:00+00:00,Fridays,Telecom Animation Film,https://sh-anime.shochiku.co.jp/astro-note/,AstroNote_anime
58125,Look Back,,ルックバック,Manga,15122,,Movie,1.0,,,2024-06-28T00:00:00+00:00,,Studio DURIAN,https://lookback-anime.com/,lookback_anime
58080,Kenka Dokugaku,Viral Hit,喧嘩独学,Web manga,14974,,TV,,spring,2024.0,2024-04-11T00:00:00+00:00,Thursdays,Okuruto Noboru,https://kenkadokugaku.com/,kenkadokugaku_A
23539,Gudetama,The Lazy Egg,ぐでたま,Original,12951,7.05,TV,,spring,2014.0,2014-03-31T00:00:00+00:00,,Gathering,http://www.sanrio.co.jp/character/gudetama/,
35300,Magia Record: Mahou Shoujo Madoka☆Magica Gaiden PVs,Puella Magi Madoka Magica Side Story: Magia Record,マギアレコード 魔法少女まどか☆マギカ外伝,Game,12462,6.3,PV,,,,2016-09-30T00:00:00+00:00,,Shaft,http://magireco.com/,
52405,Highspeed Etoile,Highspeed Etoile,HIGHSPEED Étoile（ハイスピードエトワール）,Original,11965,5.17,TV,12.0,spring,2024.0,2024-04-06T00:00:00+00:00,Saturdays,Studio A-CAT,https://highspeed-etoile.com/,HSE_Project_PR
54803,Captain Tsubasa Season 2: Junior Youth-hen,Captain Tsubasa: Junior Youth Arc,キャプテン翼シーズン2 ジュニアユース編,Manga,11942,7.38,TV,39.0,fall,2023.0,2023-10-01T00:00:00+00:00,Sundays,Studio Kai,https://ball-ha-tomodachi.com/jryouth/,
51461,Tonari no Youkai-san,,となりの妖怪さん,Web manga,10612,7.03,TV,,spring,2024.0,2024-04-07T00:00:00+00:00,Sundays,LIDENFILMS,https://tonari-no-yokai-san.com/,TonarinoYokai3
57508,Trapezium,,トラペジウム,Novel,10513,,Movie,1.0,,,2024-05-10T00:00:00+00:00,,CloverWorks,https://trapezium-movie.com/,trapezium_movie
57508,Trapezium,,トラペジウム,Novel,10513,,Movie,1.0,,,2024-05-10T00:00:00+00:00,,CloverWorks,https://trapezium-movie.com/,trapezium_movie
56980,Karasu wa Aruji wo Erabanai,Yatagarasu: The Raven Does Not Choose Its Master,烏は主を選ばない,Novel,10250,,TV,20.0,spring,2024.0,2024-04-06T00:00:00+00:00,Saturdays,Pierrot,https://www.nhk-character.com/karasu/,nep_yatagarasu
47794,MILGЯAM,MILGRAM,ミルグラム,Other,10172,8.07,Music,,,,2020-05-01T00:00:00+00:00,,OTOIRO,https://milgram.jp/,milgram_info
56165,Boukyaku Battery (TV),Oblivion Battery,忘却バッテリー,Manga,10069,6.68,TV,12.0,spring,2024.0,2024-04-10T00:00:00+00:00,Wednesdays,MAPPA,https://boukyaku-battery.com/,boukyakubattery
47405,Wanmei Shijie,Perfect World,完美世界,Novel,9678,7.58,ONA,182.0,,,2021-04-23T00:00:00+00:00,,Foch Films,https://v.qq.com/x/cover/mcv8hkc8zk8lnov/x0036x5qqsr.html,
